formid;name;werkjahr;jahrgang;titel;art;descr;web;dauer;rechte;lizenz;img1;img2;img3
16;"Dirk  Koy";2015;(1977);"Zürich 2.0";Animation;"Die Stadt als beweglicher Körper.
Eine Komposition von verschiedenen 3D gescanten Stadtteilen von Zürich, 
welche neu verortet wurden. 


Animation: Dirk Koy
Musik: Niki Reiser
Im Auftrag der Zürcher Filmstiftung

Artikel auf Designboom:
http://www.designboom.com/art/dirk-koy-zurich-360-video-3d-scan-03-10-2017/";www.dirkkoy.com;3:07;hochschulnetz;cc-by;cat/016.00008.med.png;cat/016.00015.med.png;cat/016.00022.med.png
17;"Dirk  Koy";2017;(1977);"Frautonium Lombok";Animation;"Eine visuelle Interpretation der Verdichtung Stadt. Die Stadt als Programm.

Music: Yello, www.yello.com
Mix: Ian Tregoning
Animation: Dirk Koy";www.dirkkoy.com;2:31;hochschulnetz;cc-by;cat/017.00008.med.png;cat/017.00015.med.png;cat/017.00022.med.png
18;"Dirk  Koy";2015;(1977);"Lost in Translation";Kunstvideo;"Mit dem vom Menschen gesprochenen Satz: «Es würde mich sehr freuen, wenn Sie das übersetzen
könnten», beginnen sich zwei Mobiletelefone gegenseitig zu übersetzen (D/E). Dadurch dass das
Übersetzungsprogramm noch nicht ausgereift ist und nicht alle Wörter richtig interpretiert werden,
entwickelt sich ein skurriles «Übersetzungs-Ping-Pong», welches dadaistische Züge annimmt.
Das Video ist am Stück aufgezeichnet und wurde nicht manipuliert.";www.dirkkoy.com;2:11;hgk;cc-by;cat/018.00009.med.png;cat/018.00017.med.png;cat/018.00025.med.png
19;"Susann  Wintsch";2017;(1967);Ateliertage;Dokumentation/Dokumentarfilm;"Der Künstler Dominik His (* 1965 in Basel) wird im Jahr 2016 bei seiner Arbeit im Atelier filmisch begleitet. Im Zentrum stehen jedoch nicht die dabei entstandenen Arbeiten, sondern das Tun, Machen, Zögern und Experimentieren.";"www.treibsand.ch  (www.dominikhis.ch)";"7 min.";internet;cc-by;cat/019.00008.med.png;cat/019.00015.med.png;cat/019.00022.med.png
20;"Sarah Elena  Müller / Roger Fähndrich";2017;"(1990 )";"The Drollinger Solution";Essayfilm;"Ein Essaythriller von Sarah Elena Müller und Roger Fähndrich

Sarah und Roger, zwei zwanghafte Kontrollfreaks, versetzen sich mit Hilfe einer futuristischen Technologie selbst in ein künstliches Koma. Auf diese Weise wollen sie sich von ihren verkrampften Denkstrukturen lösen. Das zwielichtige Programm F.O.X. führt sie durch ihr Unterbewusstsein – doch das Experiment läuft aus dem Ruder, als sich die beiden gegen die Verknüpfungstätigkeit von F.O.X. zu sträuben beginnen.";http://cargocollective.com/sarahelenamuller;32:00;hochschulnetz;cc-by;cat/020.00008.med.png;cat/020.00015.med.png;cat/020.00022.med.png
21;"Joey  Schmidt-Muller";2016;(1950);"Heartbeat - ein moderner Totentanz";Medienexperiment;"Heartbeat ist der Versuch, Erinnerungen durch Geräusche und Bilder hervorzurufen, die seit frühester Kindheit in unserem Gedächtnis ankern. Ein akustischer und visueller Lebenszyklus, der mit der Geburt beginnt und schließlich mit dem Tod endet. In Heartbeat schlummert der wiederkehrende Totentanz, der sich bewusst vom mittelalterlichen Bilderzyklus entfernt um sich hier in einer neuen Form zu zeigen.";"https://www.joey-schmidt-muller.de/ & https://www.youtube.com/watch?v=Ol_7HjCPDV4";3:56;internet;cc-by;cat/021.00009.med.png;cat/021.00017.med.png;cat/021.00025.med.png
22;"Pascale  Grau";2016;(1960);Emojis;Installation;"Ein Videogedicht
Ins Meer gezwungen ins Meer gesungen
noch mehr lavieren übers meer geschliffen
müde werden nach oben hinfragen
mit eieiei hin und herjammern
und jaja ganz offen im Hals
und in Dur und eisern verstummen
ja";www.pascalegrau@gmx.ch;3:29;hochschulnetz;cc-by;cat/022.00009.med.png;cat/022.00017.med.png;cat/022.00025.med.png
23;"Dirk  Koy";2016;(1977);"Blue Biscuit";Animation;"Eine visuelle Musik unter der Verwendung der grafischen Grundelemente Line, Rechteck und Kreis.";www.dirkkoy.com;3:52;hgk;cc-by;cat/023.00008.med.png;cat/023.00015.med.png;cat/023.00022.med.png
24;"Dirk  Koy";2017;(1977);"Frautonium Warehouse";Medienexperiment;"Eine Stadtaufnahme wird durch zeitlichen Versatz zur Partitur.
Musik: Yello
Mix: Andrew Weatherall
Video: Dirk Koy";www.dirkkoy.com;2:12;hgk;cc-by;cat/024.00009.med.png;cat/024.00017.med.png;cat/024.00025.med.png
25;"Sabine  Huber";2016;(1958);BOPPING;Kunstvideo;"...eine mit dem Cutter zerteilte Monotypie begleitet den von Sabine Huber komponierten Jazztune
BOPPING, gespielt von Sabine Huber auf dem Digitalpiano Kawai ES8.";www.sabinehuber.ch;"1:44 min";internet;cc-by;cat/025.00009.med.png;cat/025.00017.med.png;cat/025.00025.med.png
26;"Sabine  Huber";2016;(1958);"O.K. GREY";Kunstvideo;"Das Video zeigt sich bewegende Schatten von Kastanienblättern auf der Seeoberfläche des Vierwaldstättersees bei Her-
tenstein. Der Film wurde farblich verändert und zeitlich verlangsamt, dazu ertönt die Komposition O.K. von Sabine Huber, gespielt auf Kawai ES8.";www.sabinehuber.ch;"2:02 min";internet;cc-by;cat/026.00008.med.png;cat/026.00015.med.png;cat/026.00022.med.png
27;"Sabine  Huber";2016;(1958);"AGUA MOCA";Kunstvideo;"Wassersequenz gefilmt im Unterengadin, farblich verändert, dazu die Komposition Agua moca von Sabine Huber, gespielt
auf Kawai ES8 von S.H.";www.sabinehuber.ch;"2:01 min";internet;cc-by;cat/027.00008.med.png;cat/027.00015.med.png;cat/027.00022.med.png
28;"Esther  Ernst";2015;(1977);"short attractions";"Handy Video";"Das Video vereint diverse Handyfilme der letzten fünf Jahre. Ich habe die Kamera immer dann auf meinen Alltag gerichtet, wenn er mir besonders verblüffend, traurig, normal oder lustig vorkam. Es sind die Momente des Staunens, die ich zunächst ziellos festhielt, die mich aber stets entzückten, weil sie die Welt in ihrer liebenswerten Banalität abbilden.";www.esther-ernst.com;20:20;internet;cc-by;cat/028.00008.med.png;cat/028.00015.med.png;cat/028.00022.med.png
29;"Anja  Braun / Wendelin Schmidt-Ott";"2014 / 2015";"(1985 / 1978)";"L'ancien hôpital";Kunstvideo;"""L' ancien hôpital"" zeigt eine gefunden Abendämmerungssituation im Hinterhof eines ehemaligen Krankenhauses in Paris, die wie eine inszenierte Szene wirkt.";anjabraun.ch;"12' 16''";hochschulnetz;cc-by;cat/029.00008.med.png;cat/029.00015.med.png;cat/029.00022.med.png
30;"Marian  Mayland";2015;(1988);"Driving around where the crescents used to be. A scrip";Essayfilm;"Ein Kurzfilm über_neben_mit_ohne die Geschichte eines Stadtteils in Manchester. 

In Hulme entstanden in den 1970er Jahren (nach dem Abriss des nahezu gesamten Bezirks) vier halbkreisförmige, kilometerlange Sozialbauten für über 13.000 Bewohner. Nachdem der Komplex 1984 durch die Gemeindeverwaltung aufgegeben wurde und in den folgenden Jahren eine Art Temporärer Autonomer Zone entstand, folgte ab 1991 der Abriss und die erneute Überbauung.

Der Film vermengt dokumentarisches Material (BBC-Dokus, autodokumentarische Filmdokumente von ehemaligen Bewohner_Innen und eigenes Material) aus verschiedenen Jahrzehnten mit Ausschnitten aus Filmen, TV-Serien, Texten und Musikstücken der frühen, gegenkulturellen Techno- und Acidhouseszene.";www.marianmayland.de;15:07;hochschulnetz;cc-by;cat/030.00008.med.png;cat/030.00015.med.png;cat/030.00022.med.png
31;"Mariejon  De Jong-Buijs";2015;(1970);"Accumulated Experience, dedicated to my youth, Nr. 01";Dokumentation/Dokumentarfilm;"Industrielle Maschinen faszinieren mich in ihrer physischen, immanenten Materialität als Gegensatz zur heutigen, zunehmende digitalen und virtuellen Realität, in der wir uns bewegen. Sie stehen für Kraft und Bewegung, sind laut mit ihren Motoren, riechen nach Öl und Metall, stellen Dinge gemäss den vorgegebenen Prozeduren und vorhandenen Werkzeugen her. Sie werden dabei von Menschen gesteuert und kontrolliert. Mensch und Maschine stehen in einem engen Austauschverhältnis. In meiner Arbeit wirkt die verwendete Maschine wie eine Verlängerung meines Pinsels, sie ist ein Werkzeug, das sich nach meinen Vorstellungen einsetzen lässt. Als Lenkerin des Traktors übernehme ich die Verantwortung, ich bestimme die Bedingungen und Parameter. Das Bild ist auch das Resultat eines intensiven kontinuierlichen Entscheidungsfindungsprozesses basierend auf Beobachtungen, persönlicher Einschätzung, einer laufenden Beurteilung der Situation und sofortiger Ausführung am Steuerrad der Maschine, viele intensive Tätigkeiten, die gleichzeitig und mit vollem Engagement ausgeführt werden müssen. Die eigentliche Erfahrung verläuft dabei wie auch im Leben nicht immer geradlinig und in eine Richtung. Es kann durchaus zu Wiederholung, Wendungen, Zick-Zack und sonstigen unsteten Verläufen kommen.";www.mariejondejong-buijs.com;23:28;internet;cc-by;cat/031.00008.med.png;cat/031.00015.med.png;cat/031.00022.med.png
32;"Bianca  Pedrina";2015;(1985);"Haus aus Sand";Kunstvideo;"Im Fokus dieser Videoprojektion stehen die Spuren, die sich über die Jahrhunderte in die Oberflächen und architektonischen Strukturen des Basler Münsters eingeschrieben haben, sowie die stetigen Veränderungen, die das Baudenkmal bis heute erlebt und erträgt. Das historische Ineinanderfliessen von Erschaffen, Verändern und Bewahren ist an der Oberfläche des Münsters ablesbar. Unzählige Baumeister, Steinmetze und Handwerker haben an den Bau Hand angelegt und jeder Gläubige oder Besucher hat feinste Spuren hinterlassen. Das vom Menschen Erbaute, Bewahrte und Genutzte ist zudem diversen Umwelteinflüssen ausgesetzt: Klima, Erosion, tektonische und geophysikalische Phänomene.

""Haus aus Sand"" versetzt die Betrachter in einen Modus des langsamen und genauen Betrachtens und lädt ein, den Spuren zu folgen, die an der Oberfläche des Bauwerks zu entdecken sind. Pedrina wirft zwar einen genauen, jedoch keinen wertenden Blick auf Oberflächendetails und lässt uns etwa schwarze Russspuren der Kohleheizung aus dem 19. Jahrhundert, Reste der ehemaligen roten Bemalung oder Patchworks aus unterschiedlichen Gesteinen betrachten.
Vor unserm Auge eröffnet sich eine Vielfalt an Strukturen, Topografien und Farbspielen. Das Münster wird so zu einem lebenden, die Zeit überdauernden Organismus, und Haus aus Sand erzählt dessen Geschichte in einer Abfolge von visuellen Berührungen.
 
Textauszug: Françoise Theis";www.biancapedrina.com;"9:30 min";hochschulnetz;cc-by-nc;cat/032.00008.med.png;cat/032.00015.med.png;cat/032.00022.med.png
33;"Daniel  Künzler";2016;(1985);"“appear unremarkable – Ein Bahner kommt selten allein”";Kunstvideo;"appear unremarkable
Arbeiter grüßen in orange
Bahngleise begehen
Schächte durchkriechen
Täuschen und Tarnen
selbstautorisierte Zugehörigkeit
Sichtbar, aber ohne Aufmerksamkeit zu bekommen, die Gleisbett-Arbeiter mit einem Winken grüßen und dies erwidert bekommen.
In orange gekleidet wird einem wenig Aufmerksamkeit geschenkt. Es ist selbstverständlich, dass der Protagonist – in Warnweste – den Schachtdeckel öffnet und darin verschwindet. Als Arbeiter verkleidet, um die Stadt auf ungewöhnlichen Wegen zu begehen. Diese Form des künstlerischen Agierens birgt manchmal ein Risiko, gewährleistet zugleich aber auch Unabhängigkeit und Freiheit. Die Künstler strecken die Fühler aus und bilden eine Antenne für die Befindlichkeit der Gesellschaft. Bei deren Arbeit verschwimmen die Grenzen zwischen künstlerischer Inszenierung und durch Neugier getriebene Aktionen.";insidepocketsofthecity.com;"6min 10sec";internet;cc-by;cat/033.00008.med.png;cat/033.00015.med.png;cat/033.00022.med.png
34;"Alessia  Conidi";2017;(1985);"Testa sola e piedi uniti";Kunstvideo;"„Der Kopf ist allein, die Füsse sind immerhin zu zweit.“ Ein performatives Video mit gleichberechtigtem Einbezug des eigenen Körpers und den Möglichkeiten der Videoanimation am Computer.

Ganz ohne Ton bleibt das Video nahe am Bild. Durch das Isolieren einzelner Körperpartien entstehen kurze Handlungen und Verwandlungen, manchmal real und manchmal surreal. Surreal auch weil die Körpermitte fehlt. Doch so wird die Distanz zwischen den beiden Enden des Körpers überwunden. Die Videoanimation bringt den Kopf und die Füsse auf eine selten gemeinsame Ebene und lässt diese miteinander agieren. Dabei entsteht keine Entfremdung vom eigenen Körper sondern vielmehr wird eine erweiterte Vorstellung über die eigene Körperwahrnehmung sichtbar.";www.alessiaconidi.ch;"4 Min.";mediathek;cc-by;cat/034.00008.med.png;cat/034.00015.med.png;cat/034.00022.med.png
35;"Sabine  Huber";2016;(1958);"Valse étrange";Kunstvideo;"Eine Wassersequenz  5x farblich und formal variiert, mithilfe des Computerprogramms Premiere, dazu die Musikkomposition ""  Strange Waltz"" komponiert  und gespielt von Sabine Huber auf Kawai ES8.";www.sabinehuber.ch;"1min 53sec";;cc-by;cat/035.00008.med.png;cat/035.00015.med.png;cat/035.00022.med.png
36;"maboart / Ursula Bohren / Claudio, Magoni";2016;"(1953 +1951)";anewand;Installation;"Projekt invisible, Grenzgänge in Kunst und Gesellschaft, 2016/2017
Kunstverein D-Aschaffenburg / Kunstverein D-Konstanz / Kunsthaus Interlaken / Kunst(Zeug)haus Rapperswil.

Die künstlerische Intervention arbeitet mit der temporären Einfriedung von Territorium. Ursula Bohren und Claudio Magoni machen sich die mittelalterliche Methode des Schräghaages zunutze. Die Begrenzung entsteht aus dem Nichts, eigenmächtig wird Landnahme vollzogen. Das Territorium wird erweitert; doch das Ganze ist anfällig und den Bedingungen von Mensch und Willkür ausgesetzt. So wie die Begrenzung gesetzt wurde, so kann sie jederzeit zerstört, verlegt oder neu erstellt werden. Eine Videoprojektion zeigt das Blättern in einem Atlas des 19. Jahrhunderts und erscheint auf der Grenzziehung. Der Zaun wird zur gedanklichen Projektionsebene. Sein Schlagschatten zur harten Realität, er wirkt undurchdringbar. Das Dahinterliegende ist Teil einer zu deutenden Wirklichkeit.";http://www.maboart.ch/archiv/maboart_2016/invisible_limits_interlaken_2016.html;31:06;;cc-by;cat/036.00008.med.png;cat/036.00015.med.png;cat/036.00022.med.png
37;"Lisa K.  Lock";2017;(1956);"my other selves";Kunstvideo;"An experimental short film raising the question what would happen if humans would change gender and skin color as part of their life cycle.
Magic is woven as a mannequin comes alive and starts the events.
The film follows a man’s thoughts and emotions, after he changed from a female. Unsure now of his sexual orientation in an ever changing world, with no escape, he learns to embrace all angles of his own existence.";lisaklock.com;13:22;hochschulnetz;cc-by;cat/037.00008.med.png;cat/037.00015.med.png;cat/037.00022.med.png
38;"Yann Patrick  Martins";2017;(1988);DITHER!;Netzkunst;"Dithering algorithms are used to give the illusion of color depth when the color palette of an image needs to be reduced. The error diffusion used in the dithering algorithm “[adds] the residual quantization error of a pixel onto is neighboring pixels, to be dealt with later.” To do that the algorithm is fed with a matrix of values. If applied on a gradient, each matrix, Floyd-Steinberg, partial burke, etc., alters the structure of the latter that becomes the canvas to showcase the beauty of the algorithm itself.";http://dither.yannpatrickmartins.com/;//;internet;cc-by;cat/038.00008.med.png;cat/038.00015.med.png;cat/038.00022.med.png
39;"MIRZLEKID / Hansjörg Pfister-Köfler";2015;(17.09.1967);Kartoffelstock;Dokumentation/Dokumentarfilm;"Mirzlekid wandert mit einem Stock, der aus rohen Kartoffeln auf einer Aluminiumstange besteht, durch die   Landschaft am oberen Rhein in Graubünden. Unterwegs verkocht er einen Teil der Kartoffeln an einem Lagerfeuer und verzehrt das Gericht mit der Person die die Videokamera bedient.
>Eine Wortspiel Performance für die Kamera und Passanten<";www.mirzlekid.ch;13:49;sichtungsstation;cc-by;cat/039.00008.med.png;cat/039.00015.med.png;cat/039.00022.med.png
45;"Yuri  Dinowitz";2017;(1988);Sandwich;Animation;"Sandwich isst Liebe. Das Dilemma zweier Brotscheiben wird durch Käse zum Drama. Sandwich isst Chaos.";;00:26;internet;cc-by;cat/045.00008.med.png;cat/045.00015.med.png;cat/045.00022.med.png
46;"Alex  Bleuler";2017;(1988);"Die Banane";Kunstvideo;"Das Video zeigt eine zeichnende Hand. Das Zeichnen und Radieren wird im Zeitraffer abgespielt, wodurch die Zeichnung zur Animation im Realfilm wird. Die Bleistiftzeichnungen versuchen ein Video von Wolfgang Köhler zu kopieren, welches als Dokumentation eines Experiments mit Affen diente. Dabei versuchen diese eine in 4 Meter Höhe gehängte Banane, durch stapeln von Kisten, zu erreichen.";alexbleuler.ch;01:26;internet;cc-by;cat/046.00008.med.png;cat/046.00015.med.png;cat/046.00022.med.png
47;"Bruno  Steiner";2016;(1970);schut;Kunstvideo;"Die Auflösung des Viscose-Ateliers in Emmenbrücke stimmte mich melancholisch,  denn es war mein erstes Atelier. Vier Jahre zuvor als unsicherer Maler und Zeichner eingezogen, durfte ich in jenem Raum  Reifeprozesse als Künstler und Mensch erleben. Ich war beim Auszug bei weitem noch nicht fertig mit meiner Malerei. Das Experimentieren mit Animation und Video zog mich jedoch unaufhaltsam in neue Welten. Mit einem traurigen und einem lachenden Auge folgte ich meinem Herz, indem ich das Wegschmeissen von kaputtgetretenen Schuhen inszenierte. Die Performance-Kunst ist eine zarte Pflanze in meiner Künstlerseele, der ich gerne das Medium Video zur Seite stelle.
Die analogen Hi8-Aufnahmen von 1999 montierte ich 2016 zu einem tänzelnden Act. Abschiednehmen zelebriere ich so mit beschwingtem Elan als das, was es ist: ein Schnitt im Leben, loslassen und aufbrechen in etwas unbekanntes Neues.";http://www.brunost.ch;01:55;hochschulnetz;cc-by;cat/047.00008.med.png;cat/047.00015.med.png;cat/047.00022.med.png
48;"Patrick  Luetzelschwab";"2016 > jetzt";(1976);Heimat;"Handy Video";"Auf meinen Reisen filme ich immer wieder mit dem Smartphone aus dem Fenster. Ob aus dem Taxi, Auto, Zug, U Bahn oder dem Flugzeug. Start und Landung. Diese werden in einem zeitlichen Rhytmus zusammengefügt und mit der Musik, die ich höre wenn ich unterwegs bin, unterlegt. Hierbei geht es um das Gefühl Heimat. Das Verlassen, die Rückkehr. Das Reisen. Das Unterwegssein...";www.luetzelschwab.eu;"ca. 20min";internet;cc-by;cat/048.00008.med.png;cat/048.00015.med.png;cat/048.00022.med.png
50;"Gregory  Hari / Urs August Steiner";2017;"(1993, 1980)";"previous (season one episode one)";Installation;"previous ist eine fortsetzende Kollaboration, basierend auf dem Konzept einer Serie. Das Narrativ bezieht sich auf mögliche vergangene oder zukünftige Begebenheiten, welche fiktiv oder real sein können. Dabei folgt die Erzählung keiner linearen Stringenz, sondern kumuliert sich aus fragmentarischen Sequenzen. Die räumliche Situation hat Einfluss auf die ästhetische und inhaltliche Fortsetzung. 

Bei previous (season one episode one) war der Kunstraum blossom ausschlaggebend für die Entwicklung des Videos sowie der Installation. Örtliche architektonische Details, wie der Zugang zur unterirdischen Wasserkanalisation oder die Ästhetik eines Übungsraumes haben die Arbeit massgeblich beeinflusst.
Die Ausstellung bestand aus einem Video mit Untertitel, welches im Kunstraum gedreht wurde sowie dem Setdesign. Für dieses wurde der Raum mit einem blauen Teppich ausgekleidet. Als Requisiten diente eine Fusstrommel, ein Mikrofon, Popcorn und Milch sowie ein Staubsaugerroboter.";"harigregory.ch, ursauguststeiner.com";"03 min 21 sec";internet;cc-by;cat/050.00008.med.png;cat/050.00015.med.png;cat/050.00022.med.png
52;"Elsbeth  Stöcklin";2017;(1943);"Natur-Bild-Kunst / Bild-Kunst-Natur / Kunst-Natur-Bild";Kunstvideo;"Die unvergleichliche Natur Islands hat mich zur Gegenüberstellung einer Auswahl meiner Bilder und Fotos der Insel inspiriert.
Dieser Dialog hat  bei mir Fragen aufgeworfen. 
Déjà-vue Erlebnisse? 
Zeigt sich die Natur im Bild? 
Ist das Bild in der Natur?
Alles ist verflochten.
Kunst?
Technik der Bilder (1990 -2017): Mischtechnik auf LW und Papier, Holzschnitt, Radierungen,Seriegrafien, Frottagen, Zeichnungen, Bilder digital überarbeitet,
Raumobjekte
Fotos von 2017";;09:14;internet;cc-by;cat/052.00008.med.png;cat/052.00015.med.png;cat/052.00022.med.png
54;"Sebastian  Mundwiler";2017;(1978);"eppur si muove No. 2";Medienexperiment;"Wie der Titel schon sagt, geht es in der Arbeit um die Frage nach Übersetzbarkeit eines Prinzipes, welches wissenschaftlich anerkannt, aber auf der Wahrnehmungsebene nicht erfahrbar bleibt. Wie schon im ersten Teil der Arbeit von 2013 stellt sich der Künstler im Selbstversuch mit dem Aufnahmemedium auseinander im Versuch einen Gedanken so besser ausformulieren zu können.";www.sebastianmundwiler.ch;"1min loop";internet;cc-by;cat/054.00008.med.png;cat/054.00015.med.png;cat/054.00022.med.png
55;"Gabriela  Löffel";2015;(1972);"The Case";Installation;"Der 2014 in der WTO Genf stattfindende „ELSA Moot Court Competition on WTO Law“, ein internationaler Plädoyer-Wettbewerb im Welthandelsrecht, war Ausgangslage für „The Case“.Während dieses Plädoyer Wettbewerbs habe ich zwei verschiedene Juristenteams gefilmt. Einerseits das Team aus der renommierten Privatuniversität Harvard Law School von Cambridge, das als Kläger-Team im Finale auftrat, andrerseits das Team aus der National and Kapodistrian University von Athen, das im Halbfinale als Kläger auftrat und kurz danach im Finale zum gleichen Rechtsfall als Verteidiger sich einsetzte. In diesem Rechtsfall wurde der fiktive afrikanische Staat „the Federal Republic of Aquitania“ von einem anderen fiktiven afrikanischen Staat „the United Kingdom of Commercia“ am WTO-Handelsgericht bezüglich seiner rückgängig gemachten  Privatisierung der Wasserversorgung angeklagt.";http://loeffelgabriela.com/the-case/;34min.;sichtungsstation;cc-by;cat/055.00008.med.png;cat/055.00015.med.png;cat/055.00022.med.png
